NVDA,jaws,speak,shortSpeak,Notes,not exported notes
activateBrowseModeDialog,,browse mode options,,,
activateConfigProfilesDialog,,edit profiles,change profiles | open profile manager,,
activateInputGesturesDialog,,open input gestures dialog,change NVDA gestures | edit NVDA gestures,,
activateInputCompositionDialog,,open input composition settings,,,
activateSpeechSymbolsDialog,,open punctuation settings,edit punctuation levels,,
activateReviewCursorDialog,,open review cursor settings,,,
activateDocumentFormattingDialog,,open document formatting settings,,,
activateGeneralSettingsDialog,,open general settings,,,
activateKeyboardSettingsDialog,,open keyboard settings,,,
activateObjectPresentationDialog,,open object presentation settings,,,
activateSynthesizerDialog,,open synthesizer settings,,,
activateMouseSettingsDialog,,open mouse settings,,,
activateVoiceDialog,,open voice settings,,,
braille_toggleTether,,change braille tethering,,,
cycleAudioDuckingMode,ToggleAudioDucking,cycle speech ducking,,,
interactWithMath,,Interact with math,activate math | oh know math,,
dateTime,,what is the time,current time,,
dateTime|2,,what is the date,current date,,
leftMouseClick,,Left mouse click,Left click | clidk this dumb inaccessible button,,
moveMouseToNavigatorObject,,move Mouse to navigator,Mouse to navigator,,
moveNavigatorObjectToMouse,,move Navigator to mouse,Navigator to mouse,,
moveToParentTreeInterceptor,,"close and browse
",Exit embedded object | This dialog is annoying me | Exit dialog | leave dialog | leave embedded object | leave application | exit application,,
navigatorObject_current,,Current navigator,current nav,,
navigatorObject_current|2,,spell Current navigator,spell nav,,
navigatorObject_current|3,,Copy current navigator to clipboard,copy nav,,
navigatorObject_currentDimensions,,Where is navigator,Navigator location | nav location,,
navigatorObject_currentDimensions|2,,Where is navigator in more detail,Navigator detailed location | nav extra location,,
navigatorObject_firstChild,,First child,,,
navigatorObject_moveFocus|2,,move caret to review,,,2 is important
navigatorObject_moveFocus,,move Focus to navigator,Focus to navigator,,
navigatorObject_next,,Next object,move to Next,,
navigatorObject_parent,,Parent object,move to Parent,,
navigatorObject_previous,,Previous object,move to Previous,,
navigatorObject_toFocus,,Move to focused,Navigator to focus,,
previousSynthSetting,,previous synth setting,,,
increaseSynthSetting,,increase synth setting,,,
decreaseSynthSetting,,decrease synth setting,,,
nextSynthSetting,,Next synth setting,,,
passNextKeyThrough,PassKeyThrough,pass next key through,pass key through | ignore next key,,
reloadPlugins,,reload plugins,,,
reportAppModuleInfo,,App information,,,
reportCurrentLine,,speak line,,,
reportCurrentLine|2,,spell line,,,
reportCurrentLine|3,,spell line phonetically,,,
reportCurrentFocus,,speak focus,speak Focused object,,
reportCurrentFocus|2,,spell focus,,,
title,,report title,speak title,,
title|2,,spell title,,,
title|3,,copy title to clipboard,,,
speakForeground ,,read window,speak window | speak foreground,,nvda+b
reportCurrentSelection,,speak selection,Selected text| what text is selected ,,
reportStatusLine,,speak status bar,speak status,,
reportStatusLine|2,,spell status bar,spell status,,
revertConfiguration,,Revert to saved settings,,,
revertConfiguration|3,,reset NVDA to factory defaults,I can't hear you NVDA,,
review_activate,,Activate object,activate navigator,,
review_bottom,,move review to bottom,Review cursor to end | review cursor to bottom,,
review_copy,,copy review text,copy review,,
review_currentCharacter,,speak review character,speak char,,
review_currentCharacter|2,,speak review character phonetically,speak char military,,
review_currentCharacter|3,,speak review character alphpanumerically,speak char code,,
review_currentWord,,speak review word,,,
review_currentWord|2,,spell review word,,,
review_currentWord|3,,spell review word phonetically,,,"military alphebet. ""delta india charly tango alpha tango india oscur  would be dictationnovember"
review_currentLine,,speak review line,,,
review_currentLine|2,,spell review line,,,spells the line
review_currentLine|3,,spell review line phonetically,,,
review_endOfLine,,move review to end,review to end | review to end of line,,
review_markStartForCopy,,begin selection,,,
review_nextCharacter,,review next character,review next char,,
review_nextLine,,review next line,,,
review_nextWord,,Review next word,,,
review_previousCharacter,,review previous character,prev char,,
review_previousWord,,Review previous word,,,
review_previousLine,,Review previous line,,,
review_sayAll,,say all review,,,
review_startOfLine,,move review to beginning,review to home | review to start of line,,
review_top,,move review to top,review to top,,
reviewMode_next,,Next review mode,,,
reviewMode_previous,,previous review mode,,,
rightMouseClick,,Right mouse click,Right click,,
saveConfiguration,,Save configuration,Save settings,,
say_battery_status,,Battery status,is my battery dying,,
sayAll,,Say all focus,say all,,
showGui,,nvda menu,,,
speechMode,,Toggle speech mode,,,
toggleCaretMovesReviewCursor,,Toggle review cursor follows caret,,,
toggleCurrentAppSleepMode,,toggle sleep mode,,,
toggleFocusMovesNavigatorObject,,Toggle navigator object follows focus,,,
cycleSpeechSymbolLevel,,cycle punctuation level,cycle symbol level,,
toggleInputHelp,,Input help,,,
toggleLeftMouseButton,,Toggle left mouse button lock,,,
toggleMouseTracking,,Toggle mouse tracking,,,
toggleProgressBarOutput,,cycle progress bar output,,,
toggleReportDynamicContentChanges,,Toggle speaking screen content changes,,,
toggleRightMouseButton,,Toggle right mouse button lock,,,
toggleSpeakCommandKeys,,Toggle speaking command keys,,,
toggleSpeakTypedWords,,Toggle speaking typed words,,,
toggleVirtualBufferPassThrough,,Toggle browse mode,toggle focus mode,,
quit,,quit NVDA,exit NVDA | go away NVDA,,
restart,,restart NVDA,stop freezing NVDA,,
nextColumn,,move to next column,next column | next col,,These commands move around in tables.
previousColumn,,move to previous column,previous column | prev col,,
nextRow,,move to next row,next row,,
previousRow,,move to previous row,previous row | prev row,,
nextHeading,,next heading,next head,,
previousHeading,,previous heading,prev head,,
movePastEndOfContainer,,move past container,move past table | move past list | move past frame,,
moveToStartOfContainer,,move to start of container,move to start of table | move to start of list | move to start of frame | start of table | start of list | start of frame | table top | list top,,
refreshBuffer,,refresh browse mode,,,
activateLongDesc,,get long description,,,
toggleScreenLayout,,toggle screen layout,,,
find,,nvda find,browse mode find | find text,,I added extras because NVDA find fails with wsr 
findNext,,find next,,,
findPrevious,,find previous,find prev,,
nextAnnotation,,next annotation,next rev,,
previousAnnotation,,previous annotation,prev annotation | prev rev,,
nextBlockQuote,,next block quote,,,
previousBlockQuote,,previous block quote,prev block quote,,
nextButton,,next button,,,
previousButton,,previous button,prev button,,
nextCheckBox,,next check box,,,
previousCheckBox,,previous check box,prev check box,,
nextEdit,,next edit field,next edit,,
previousEdit,,previous edit field,prev edit field | prev edit,,
nextEmbeddedObject,,next embedded object,,,
previousEmbeddedObject,,previous embedded object,prev embedded object,,
nextError,,next error,,,
previousError,,previous error,,,
nextFormField,,next form field,next field,,
previousFormField,,previous form field,prev form field | prev field | previous form field,,
nextFrame,,next frame,,,
previousFrame,,previous frame,prev frame,,
nextGraphic,,next graphic | next picture,next image,,
previousGraphic,,previous graphic,previous image | previous picture | prev graphic | prev image | prev picture,,
nextHeading1,,next heading 1,next 1,,
previousHeading1,,previous heading 1,prev heading 1 | prev 1 | previous 1,,
nextHeading2,,next heading 2,next 2,,
previousHeading2,,previous heading 2,prev heading 2 | prev 2 | previous 2,,
nextHeading3,,next heading 3,next 3,,
previousHeading3,,previous heading 3,prev heading 3 | prev 3 | previous 3,,
nextHeading4,,next heading 4,next 4,,
previousHeading4,,previous heading 4,prev heading 4 | prev 4 | previous 4,,
nextHeading5,,next heading 5,next 5,,
previousHeading5,,previous heading 5,prev heading 5 | prev 5 | previous 5,,
nextHeading6,,next heading 6,next 6,,
previousHeading6,,previous heading 6,prev heading 6 | prev 6 | previous 6,,
nextLandmark,,next landmark,,,
previousLandmark,,previous landmark,prev landmark,,
nextLink,,next link,,,
previousLink,,previous link,prev link,,
nextList,,next list,,,
previousList,,previous list,prev list,,
nextListItem,,next listItem,,,
previousListItem,,previous listItem,prev listItem,,
nextRadioButton,,next radio button,next radio,,
previousRadioButton,,previous radio button,prev radio button | previous radio | prev radio,,
nextSeparator,,next seperator,,,
previousSeparator,,previous seperator,prev seperator,,
nextTable,,next table,,,
previousTable,,previous table,prev table,,
nextUnvisitedLink,,next unvisited link,next unvisited,,
previousUnvisitedLink,,previous unvisited link,previous unvisited | prev unvisited | prev unvisited link,,
nextvisitedLink,,next visited link,next visited,,
previousvisitedLink,,previous visited link,previous visited | prev visited | prev visited link,,
nextNotLinkBlock,,skip these links,move past these links,,
previousNotLinkBlock,,move before these links,,,
elementsList,,show elements list,elementsList,,
stopTalking,,Stop Talking,,Stops speech. This is like pressing control on a keyboard.,
toggleTalking,,Toggle talking,,Pause or resume speech This is like pressing shift on a keyboard,
dbHelp,TurnScreenShadeOnOrOff,cycle screen shade,DB Help | Screen Reader Help,"Get context sensative help on what commands you can currently say to control your screen reader. For example, if you are in a table, the table navigation commands show up, but if you are not, they won't.",
,FollowErrorRelation,follow error relation,,,
,FollowDetailsRelation,follow details relation,,,
,SetMouseEchoToCharacter,mouse echo character,,,
,SetMouseEchoToWord,mouse echo word,,,
,SetMouseEchoToLine,mouse echo line,,,
,SetMouseEchoToParagraph,mouse echo paragraph,,,
,SelectALanguage,select language,,,
,LaunchCommandsSearch,search for jaws command,,,
,ViewClipboardText,view clipboard text,,,
,ToggleDefaultUserMode,cycle default user mode,,,
,ShowSpeechHistory,view speech history,,,
,ClearSpeechHistory,clear speech history,,,
,SelectTextBetweenMarkedPlaceAndCurrentPosition,select text until marked place,,,
,DoFlexibleWebDialog,,,,
,RecognizeRealWindow,ocr window,,,
,RecognizeControl,ocr control,,,
,RecognizeScreen,ocr screen,,,
,CancelRecognition,cancel ocr,,,
,OCRDocument,ocr document,,,
,RecognizeCamera,ocr from camera,,,
,OCRSelectedFile,ocr selected file,,,
,LaunchMagic,start magic,,,
,IncreaseVoiceRateTemporary,talk faster,,,
,DecreaseVoiceRateTemporary,talk slower,,,
,MouseEchoToggle,cycle mouse echo,,,
,SelectALink,list links,,,
,SetTypingEcho,cycle typing echo,,,
,ToggleTextAnalyzer,cycle text analyzer,,,
,MoveToNextInconsistency,next error in document,,,
,LockKeyboard,lock keyboard,,,
,SayClipboard,speak clipboard,,,
,PreviousDocumentWindowByPage,previous document window by page,,,
,SwitchInputLanguage,cycle input language,,,
,JAWSMemDmp,dump jaws memory,,,
,RoutePCToVirtual,route pc cursor to jaws cursor,,,
,AppendSelectedTextToClipboard,append selection to clipboard,,,
,StartSkimRead,skim reading,,,
,SpeakPlaceMarkers,speak place markers,,,
,VirtualizeCurrentControl,virtualize control,,,
,PresentAllOccurrencesOfWord,present all occurances of word,,,
,ReadFromCurrentCell,read from current cell,,,
,ReadCurrentColumn,read column,,,
,ReadFromTopOfColumn,read from top of column,,,
,ViewSysTrayItems,list system tray icons,,,
,CreatePrompt,create prompt,,,
,ShowAllFrames,list frames,,,
,ShowFramesTextOnly,list text of frames,,,
,NextDocumentWindow,next document window,,,
,CloseDocumentWindow,close document,,,
,ShutDownJAWS,quit jaws,,,
,SayPriorCharacter,speak previous character,,,
,SayNextLine,speak next line,,,
,ReadBoxInTabOrder,speak dialogue box,,,
,OpenListBox,open list box,,,
,ReadWordInContext,read word in context,,,
,SayDefaultButton,speak default button,,,
,ScreenSensitiveHelp,context sensitive help,,,
,HotKeyHelp,hot key help,,,
,FrameGetBottomRight,frame get bottom right,,,
,PCCursor,switch to pc cursor,,,
,TouchCursor,switch to touch cursor,,,
,JAWSWindow,jaws window,,,
,SayToCursor,speak to cursor,,,
,ControlLeftMouseClick,control left mouse click,,,
,SayColor,speak color,,,
,VKSelect,select special character,,,
,ShiftLeftMouseClick,shift left mouse click,,,
,RightMouseButton,right mouse click,,,
,RouteJAWSCursorToPc,route jaws cursor to pc cursor,,,
,RouteJAWSCursorToTouch,route jaws cursor to touch cursor,,,
,SayActiveCursor,speak active cursor,,,
,SelectNextScreen,select next screen,,,
,LeftMouseButton,left mouse click,,,
,SayTopLineOfWindow,speak top line of window,,,
,SayFrameAtCursor,speak frame at cursor,,,
,HomeRowToggle,cycle home row,,,
,RestrictCurrentCursor,restrict cursor to window,,,
,MouseLeft,mouse left,,,
,MouseUp,mouse up,,,
,SayCurrentAccessKey,say access key,,,
,SelectNextWord,select next word,,,
,WindowKeysHelp,window keys help,,,
,SelectPriorScreen,select previous screen,,,
,SelectFromTop,select text from top,,,
,SelectToBottom,select text to bottom,,,
,RefreshScreen,refresh screen,,,
,RefreshScripts,refresh scripts,,,
,SaySelectedText,speak selected text,,,
,SettingsCenter,settings center,,,
,ScriptManager,start script manager,,,
,KeyboardHelp,cycle keyboard help,,,
,DictionaryManager,start dictionary manager,,,
,JAWSFindPrior,jaws find previous,,,
,WindowClassReassign,reclassify window,,,
,SayParagraph,speak paragraph,,,
,SayNextWord,speak next word,,,
,SayPriorWord,speak previous word,,,
,SayBottomLineOfWindow,speak bottom line of window,,,
,LeftMouseButtonLock,lock left mouse button,,,
,QuickSettings,start quick settings,,,
,SetScreenEcho,cycle screen echo,,,
,GraphicsLabeler,label graphic,,,
,SayPriorCharacterPCCursor,pc cursor speak previous character,,,
,SayNextLinePCCursor,pc cursor speak next line,,,
,SayNextWordPCCursor,pc cursor speak next word,,,
,SayNextCharacterPCCursor,pc cursor speak next character,,,
,TopOfFile,go to top of file,,,
,RightMouseButtonLock,lock right mouse,,,
,RunJAWSManager,select jaws manager,,,
,AutoLabelGraphics,automatically label graphics,,,
,SaySentence,speak Sentence,,,
,VirtualPCCursorToggle,cycle virtual pc cursor,,,
,MoveToBottomOfColumn,go to bottom of column,,,
,MoveToTopOfColumn,move to top of column,,,
,FirstCellInTable,move to first cell,,,
,LastCellInTable,move to last cell in table,,,
,DecreaseVoiceRatePermanent,talk slower perminantly,,,
,IncreaseVoiceRatePermanent,talk faster perminantly,,,
,TetherJAWSToPC,tether jaws cursor to pc cursor,,,
,SayAppVersion,speak program version,,,
,GraphicsList,list graphics,,,
,SaySpecialWindowClasses,speak special window classes,,,
,SayWindowPromptAndText,speak window prompt and text,,,
,MoveToPriorVisitedLink,previous visited link,,,
